model,Passive Score,model_score,,SagVoltageTest,RestingVoltageTest,InputResistanceTest,MembraneTimeConstantTest,CellCapacitanceTest,ReboundSpikingTest,RheobaseTest,AfterHyperpolarizationAmplitudeTest,AfterHyperpolarizationTimeTest,SpikeAmplitudeTest,SpikeHalfWidthTest,SpikePeakTest,SpikeThresholdTest,FISlopeTest,SpikeAccommodationTest,SpikeAccommodationTimeConstantTest,ISICVTest
prev_ob_models.LiCleland2013.isolated_cells.MC,3.14,8.84,1.51,0.75,0.22,2.81,-0.38,-1.09,0.00,0.13,3.49,-1.10,-0.23,-3.49,0.96,1.56,-1.92,0.96,2.94,5.10
prev_ob_models.Davison2000.isolated_cells.MC,6.41,9.17,1.53,0.77,0.83,-0.11,3.71,5.11,0.00,0.26,1.27,-1.38,0.62,-4.63,1.57,1.42,-1.53,-0.02,3.07,-1.15
prev_ob_models.Migliore2015operators.isolated_cells.MC,2.77,10.29,1.65,0.74,0.52,-1.89,-1.81,0.04,0.00,7.54,1.45,-1.46,3.19,1.00,3.06,-0.25,-2.58,-0.14,2.94,-1.07
prev_ob_models.Oconnor2012.isolated_cells.MC2,2.74,10.64,1.84,0.74,0.49,-1.15,-1.89,-1.36,0.00,2.45,-1.46,-1.38,2.54,6.92,3.37,1.26,-2.18,-0.06,4.72,-1.20
prev_ob_models.RubinCleland2006.isolated_cells.MC,4.10,10.65,2.06,2.63,0.90,-2.03,-1.69,1.36,0.50,4.92,3.59,-1.54,3.65,-3.38,4.05,0.49,-2.58,-0.21,2.96,-0.68
prev_ob_models.Migliore2014bulb3d.isolated_cells.MC,2.87,10.91,1.72,0.74,0.52,-1.94,-1.90,-0.27,0.00,8.37,1.09,-1.46,3.13,1.51,2.94,-0.38,-2.58,-0.13,2.95,-1.07
prev_ob_models.Oconnor2012.isolated_cells.MC6,2.78,11.58,1.98,0.74,0.50,-1.69,-1.87,-0.78,0.00,6.64,-1.14,1.31,2.17,5.67,3.14,1.46,-2.58,-0.06,4.72,-1.20
prev_ob_models.Oconnor2012.isolated_cells.MC3,3.13,12.22,2.16,0.74,0.47,-1.60,-2.04,-1.52,0.00,7.09,-1.27,-1.42,1.74,6.62,3.50,2.39,-2.58,-2.20,2.95,-0.80
prev_ob_models.Oconnor2012.isolated_cells.MC5,2.64,12.38,2.07,0.73,-0.09,-1.65,-1.81,-0.64,0.00,8.62,1.34,-1.14,2.51,5.16,3.61,1.65,-2.58,-2.05,2.97,-0.71
prev_ob_models.Oconnor2012.isolated_cells.MC4,2.61,12.46,1.99,0.69,0.55,-1.02,-1.82,-1.30,0.00,5.91,0.03,-0.82,0.77,7.76,3.21,3.36,-2.58,-0.06,4.72,-1.20
prev_ob_models.Oconnor2012.isolated_cells.MC1,3.14,13.63,2.26,0.73,0.37,-1.58,-2.05,-1.57,0.00,6.59,1.55,-1.06,1.80,8.71,3.67,2.52,-2.58,-0.06,4.72,-1.14
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,"	SagVoltageTest","	RestingVoltageTest","	InputResistanceTest","	MembraneTimeConstantTest","	CellCapacitanceTest","	ReboundSpikingTest","	RheobaseTest",AfterHyperpolarizationAmplitudeTest,"	AfterHyperpolarizationTimeTest","	SpikeAmplitudeTest","	SpikeHalfWidthTest","	SpikePeakTest","	SpikeThresholdTest","	FISlopeTest","	SpikeAccommodationTest","	SpikeAccommodationTimeConstantTest","	ISICVTest"
,,,,"	1.6506098872854416","	0.5804299877377849","	1.7986612845348584","	-1.901390842230963","	-1.8526776769848046","	0.0","	-0.3701829310983143","	5.297800977604131","	-0.6205337478947767","	1.8522025582009554","	-1.7198275862069814","	2.545172884571633","	0.8127361860583252","	1.631578947368421","	-0.1632643145070731","	2.949709676756778","	-1.1376037291708379"
